YahooSymbol,Code,Company,Sector,is_reit
CAY.AX,CAY,CANYON RESOURCES LIMITED,Materials,False
CAA.AX,CAA,CAPRAL LIMITED,Materials,False
CRS.AX,CRS,CAPRICE RESOURCES LTD,Materials,False
CMM.AX,CMM,CAPRICORN METALS LTD,Materials,False
CSC.AX,CSC,CAPSTONE COPPER CORP.,Materials,False
CAQ.AX,CAQ,CAQ HOLDINGS LIMITED,Real Estate Management & Development,False
CAR.AX,CAR,CAR GROUP LIMITED,Media & Entertainment,False
CVV.AX,CVV,CARAVEL MINERALS LIMITED,Materials,False
CRB.AX,CRB,CARBINE RESOURCES LIMITED,Materials,False
CG1.AX,CG1,CARBONXT GROUP LIMITED,Materials,False
CTQ.AX,CTQ,CARETEQ LIMITED,Health Care Equipment & Services,False
CMA.AX,CMA,CARMA LIMITED,Consumer Discretionary Distribution & Retail,False
CNB.AX,CNB,CARNABY RESOURCES LIMITED,Materials,False
CVN.AX,CVN,CARNARVON ENERGY LIMITED,Energy,False
CAV.AX,CAV,CARNAVALE RESOURCES LIMITED,Materials,False
CCE.AX,CCE,CARNEGIE CLEAN ENERGY LIMITED,Utilities,False
CCV.AX,CCV,CASH CONVERTERS INTERNATIONAL,Financial Services,False
CPN.AX,CPN,CASPIN RESOURCES LIMITED,Materials,False
CMD.AX,CMD,CASSIUS MINING LIMITED,Materials,False
CST.AX,CST,CASTILE RESOURCES LTD,Materials,False
CDT.AX,CDT,CASTLE MINERALS LIMITED,Materials,False
CTN.AX,CTN,CATALINA RESOURCES LTD,Materials,False
CYL.AX,CYL,CATALYST METALS LIMITED,Materials,False
CAT.AX,CAT,CATAPULT SPORTS LTD,Software & Services,False
CXU.AX,CXU,CAULDRON ENERGY LIMITED,Energy,False
CVR.AX,CVR,CAVALIER RESOURCES LIMITED,Materials,False
CAZ.AX,CAZ,CAZALY RESOURCES LIMITED,Materials,False
CWP.AX,CWP,CEDAR WOODS PROPERTIES LIMITED,Real Estate Management & Development,False
CLA.AX,CLA,CELSIUS RESOURCES LIMITED.,Materials,False
CTM.AX,CTM,CENTAURUS METALS LIMITED,Materials,False
CTP.AX,CTP,CENTRAL PETROLEUM LIMITED,Energy,False
CAF.AX,CAF,CENTREPOINT ALLIANCE LIMITED,Financial Services,False
CTT.AX,CTT,CETTIRE LIMITED,Consumer Discretionary Distribution & Retail,False
CGR.AX,CGR,CGN RESOURCES LIMITED,Materials,False
CHN.AX,CHN,CHALICE MINING LIMITED,Materials,False
CEL.AX,CEL,CHALLENGER GOLD LIMITED,Materials,False
CGF.AX,CGF,CHALLENGER LIMITED,Financial Services,False
CIA.AX,CIA,CHAMPION IRON LIMITED,Materials,False
CCA.AX,CCA,CHANGE FINANCIAL LIMITED,Financial Services,False
CHI.AX,CHI,CHANNEL INFRASTRUCTURE NZ LIMITED,Energy,False
CHR.AX,CHR,CHARGER METALS NL,Materials,False
CC9.AX,CC9,CHARIOT RESOURCES LTD,Materials,False
CMX.AX,CMX,CHEMX MATERIALS LIMITED,Materials,False
CHW.AX,CHW,CHILWA MINERALS LTD,Materials,False
CHM.AX,CHM,CHIMERIC THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
CNU.AX,CNU,CHORUS LIMITED,Telecommunication Services,False
C79.AX,C79,CHRYSOS CORPORATION LIMITED,Commercial & Professional Services,False
CTO.AX,CTO,CITIGOLD CORPORATION LIMITED,Materials,False
CCX.AX,CCX,CITY CHIC COLLECTIVE LIMITED,Consumer Discretionary Distribution & Retail,False
CVL.AX,CVL,CIVMEC LIMITED,Capital Goods,False
CL8.AX,CL8,CL8 HOLDINGS LIMITED,Transportation,False
C7A.AX,C7A,CLARA RESOURCES AUSTRALIA LTD,Materials,False
CU6.AX,CU6,CLARITY PHARMACEUTICALS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",False
CLZ.AX,CLZ,CLASSIC MINERALS LTD,Materials,False
CNQ.AX,CNQ,CLEAN TEQ WATER LIMITED,Commercial & Professional Services,False
CWY.AX,CWY,CLEANAWAY WASTE MANAGEMENT LIMITED,Commercial & Professional Services,False
CSX.AX,CSX,CLEANSPACE HOLDINGS LIMITED,Health Care Equipment & Services,False
CVW.AX,CVW,CLEARVIEW WEALTH LIMITED,Insurance,False
CPV.AX,CPV,CLEARVUE TECHNOLOGIES LIMITED,Capital Goods,False
COV.AX,COV,CLEO DIAGNOSTICS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",False
CC5.AX,CC5,CLEVER CULTURE SYSTEMS LIMITED,Health Care Equipment & Services,False
CIW.AX,CIW,CLIME INVESTMENT MANAGEMENT LTD,Financial Services,False
CUV.AX,CUV,CLINUVEL PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
CLG.AX,CLG,CLOSE THE LOOP LTD.,Commercial & Professional Services,False
CLV.AX,CLV,CLOVER CORPORATION LIMITED,Materials,False
CLU.AX,CLU,CLUEY LTD,Consumer Services,False
CEH.AX,CEH,COAST ENTERTAINMENT HOLDINGS LIMITED,Consumer Services,False
COB.AX,COB,COBALT BLUE HOLDINGS LIMITED,Materials,False
CBO.AX,CBO,COBRAM ESTATE OLIVES LIMITED,"Food, Beverage & Tobacco",False
CBE.AX,CBE,COBRE LIMITED,Materials,False
COH.AX,COH,COCHLEAR LIMITED,Health Care Equipment & Services,False
COD.AX,COD,CODA MINERALS LTD,Materials,False
CDA.AX,CDA,CODAN LIMITED,Technology Hardware & Equipment,False
CDE.AX,CDE,CODEIFAI LIMITED,Commercial & Professional Services,False
CDR.AX,CDR,CODRUS MINERALS LIMITED,Materials,False
COG.AX,COG,COG FINANCIAL SERVICES LIMITED,Financial Services,False
CGS.AX,CGS,COGSTATE LTD,Health Care Equipment & Services,False
CKA.AX,CKA,COKAL LIMITED,Materials,False
COL.AX,COL,COLES GROUP LIMITED.,Consumer Staples Distribution & Retail,False
CKF.AX,CKF,COLLINS FOODS LIMITED,Consumer Services,False
COI.AX,COI,COMET RIDGE LIMITED,Energy,False
CBA.AX,CBA,COMMONWEALTH BANK OF AUSTRALIA.,Banks,False
CCG.AX,CCG,COMMS GROUP LTD,Telecommunication Services,False
CF1.AX,CF1,COMPLII FINTECH SOLUTIONS LTD,Software & Services,False
CMP.AX,CMP,COMPUMEDICS LIMITED,Health Care Equipment & Services,False
CPU.AX,CPU,COMPUTERSHARE LIMITED.,Commercial & Professional Services,False
CND.AX,CND,CONDOR ENERGY LIMITED,Energy,False
CNJ.AX,CNJ,CONICO LTD,Materials,False
CML.AX,CML,CONNECTED MINERALS LIMITED,Technology Hardware & Equipment,False
CQT.AX,CQT,CONNEQT HEALTH LIMITED,Health Care Equipment & Services,False
CXZ.AX,CXZ,CONNEXION MOBILITY LTD,Software & Services,False
CRD.AX,CRD,CONRAD ASIA ENERGY LTD.,Energy,False
CR1.AX,CR1,CONSTELLATION RESOURCES LIMITED,Materials,False
CT1.AX,CT1,CONSTELLATION TECHNOLOGIES LIMITED,Technology Hardware & Equipment,False
CEN.AX,CEN,CONTACT ENERGY LIMITED,Utilities,False
CBL.AX,CBL,CONTROL BIONICS LIMITED,Health Care Equipment & Services,False
CPM.AX,CPM,COOPER METALS LIMITED,Materials,False
COY.AX,COY,COPPERMOLY LIMITED,Materials,False
CZN.AX,CZN,CORAZON MINING LIMITED,Materials,False
CR3.AX,CR3,CORE ENERGY MINERALS LTD,Materials,False
CXO.AX,CXO,CORE LITHIUM LTD,Materials,False
CR9.AX,CR9,CORELLA RESOURCES LTD,Materials,False
CRN.AX,CRN,CORONADO GLOBAL RESOURCES INC.,Materials,False
CTD.AX,CTD,CORPORATE TRAVEL MANAGEMENT LIMITED,Consumer Services,False
CMO.AX,CMO,COSMO METALS LIMITED,Materials,False
C1X.AX,C1X,COSMOS EXPLORATION LIMITED,Materials,False
COS.AX,COS,COSOL LIMITED,Software & Services,False
CUP.AX,CUP,COUNT LIMITED,Commercial & Professional Services,False
CYG.AX,CYG,COVENTRY GROUP LIMITED,Capital Goods,False
CGO.AX,CGO,CPT GLOBAL LIMITED,Software & Services,False
CCR.AX,CCR,CREDIT CLEAR LIMITED,Software & Services,False
CCP.AX,CCP,CREDIT CORP GROUP LIMITED,Financial Services,False
CRI.AX,CRI,CRITICA LIMITED,Materials,False
CMG.AX,CMG,CRITICAL MINERALS GROUP LIMITED,Materials,False
CRR.AX,CRR,CRITICAL RESOURCES LIMITED,Materials,False
CTE.AX,CTE,CRYOSITE LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
CSL.AX,CSL,CSL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
CLX.AX,CLX,CTI LOGISTICS LIMITED,Transportation,False
CUE.AX,CUE,CUE ENERGY RESOURCES LIMITED,Energy,False
CUF.AX,CUF,CUFE LTD,Materials,False
CUL.AX,CUL,CULLEN RESOURCES LIMITED,Materials,False
CPO.AX,CPO,CULPEO MINERALS LIMITED,Materials,False
CVB.AX,CVB,CURVEBEAM AI LIMITED,Health Care Equipment & Services,False
CCL.AX,CCL,CUSCAL LIMITED,Financial Services,False
CVC.AX,CVC,CVC LIMITED,Financial Services,False
CYQ.AX,CYQ,CYCLIQ GROUP LTD,Consumer Durables & Apparel,False
CYC.AX,CYC,CYCLOPHARM LIMITED,Health Care Equipment & Services,False
CY5.AX,CY5,CYGNUS METALS LIMITED,Materials,False
CYP.AX,CYP,CYNATA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
CYM.AX,CYM,CYPRIUM METALS LIMITED,Materials,False
CZR.AX,CZR,CZR RESOURCES LTD,Materials,False
D3E.AX,D3E,D3 ENERGY LIMITED,Energy,False
DAL.AX,DAL,DALAROO METALS LTD,Materials,False
DBI.AX,DBI,DALRYMPLE BAY INFRASTRUCTURE LIMITED,Transportation,False
DTM.AX,DTM,DART MINING NL,Materials,False
DTL.AX,DTL,DATA#3 LIMITED,Software & Services,False
DDT.AX,DDT,DATADOT TECHNOLOGY LIMITED,Automobiles & Components,False
DWG.AX,DWG,DATAWORKS GROUP LIMITED,Software & Services,False
DTR.AX,DTR,DATELINE RESOURCES LIMITED,Materials,False
DEM.AX,DEM,DE.MEM LIMITED,Utilities,False
DAI.AX,DAI,DECIDR AI INDUSTRIES LTD,"Food, Beverage & Tobacco",False
DYL.AX,DYL,DEEP YELLOW LIMITED,Energy,False
DEL.AX,DEL,DELOREAN CORPORATION LIMITED,Utilities,False
DLI.AX,DLI,DELTA LITHIUM LIMITED,Materials,False
DGH.AX,DGH,DESANE GROUP HOLDINGS LIMITED,Real Estate Management & Development,False
DM1.AX,DM1,DESERT METALS LIMITED,Materials,False
DSM.AX,DSM,DESERT MINERALS LTD,Materials,False
DES.AX,DES,DESOTO RESOURCES LIMITED,Materials,False
DRR.AX,DRR,DETERRA ROYALTIES LIMITED,Materials,False
DVP.AX,DVP,DEVELOP GLOBAL LIMITED,Materials,False
DEV.AX,DEV,DEVEX RESOURCES LIMITED,Energy,False
DGL.AX,DGL,DGL GROUP LIMITED,Materials,False
DGR.AX,DGR,DGR GLOBAL LIMITED,Materials,False
DBO.AX,DBO,DIABLO RESOURCES LIMITED,Materials,False
DRX.AX,DRX,DIATREME RESOURCES LIMITED,Materials,False
DDR.AX,DDR,DICKER DATA LIMITED,Technology Hardware & Equipment,False
DCC.AX,DCC,DIGITALX LIMITED,Software & Services,False
DXB.AX,DXB,DIMERIX LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
DAF.AX,DAF,DISCOVERY ALASKA LIMITED,Materials,False
DOC.AX,DOC,DOCTOR CARE ANYWHERE GROUP PLC,Health Care Equipment & Services,False
DME.AX,DME,DOME GOLD MINES LIMITED,Materials,False
DMP.AX,DMP,DOMINO'S PIZZA ENTERPRISES LIMITED,Consumer Services,False
DVL.AX,DVL,DORSAVI LTD,"Pharmaceuticals, Biotechnology & Life Sciences",False
DTZ.AX,DTZ,DOTZ NANO LIMITED,Technology Hardware & Equipment,False
DOW.AX,DOW,DOWNER EDI LIMITED,Commercial & Professional Services,False
DPM.AX,DPM,DPM METALS INC.,Materials,False
DMG.AX,DMG,DRAGON MOUNTAIN GOLD LIMITED,Materials,False
DRE.AX,DRE,DREADNOUGHT RESOURCES LTD,Materials,False
DRO.AX,DRO,DRONESHIELD LIMITED,Capital Goods,False
DTI.AX,DTI,DTI GROUP LTD,Technology Hardware & Equipment,False
DUB.AX,DUB,DUBBER CORPORATION LIMITED,Software & Services,False
DUG.AX,DUG,DUG TECHNOLOGY LTD,Software & Services,False
DKM.AX,DKM,DUKETON MINING LIMITED,Materials,False
DUN.AX,DUN,DUNDAS MINERALS LIMITED,Materials,False
DUR.AX,DUR,DURATEC LIMITED,Capital Goods,False
DSK.AX,DSK,DUSK GROUP LIMITED,Consumer Discretionary Distribution & Retail,False
DBF.AX,DBF,DUXTON FARMS LTD,"Food, Beverage & Tobacco",False
DXN.AX,DXN,DXN LIMITED,Software & Services,False
DYM.AX,DYM,DYNAMIC METALS LIMITED,Materials,False
DNL.AX,DNL,DYNO NOBEL LIMITED.,Materials,False
E79.AX,E79,E79 GOLD MINES LIMITED,Materials,False
APE.AX,APE,EAGERS AUTOMOTIVE LIMITED,Consumer Discretionary Distribution & Retail,False
EM2.AX,EM2,EAGLE MOUNTAIN MINING LIMITED,Materials,False
EPY.AX,EPY,EARLYPAY LTD,Financial Services,False
EE1.AX,EE1,EARTHS ENERGY LIMITED,Materials,False
EGA.AX,EGA,EASTERN GAS CORPORATION LIMITED,Energy,False
EFE.AX,EFE,EASTERN RESOURCES LIMITED,Materials,False
EBO.AX,EBO,EBOS GROUP LIMITED,Health Care Equipment & Services,False
EBR.AX,EBR,EBR SYSTEMS INC.,Health Care Equipment & Services,False
ECH.AX,ECH,ECHELON RESOURCES LIMITED,Energy,False
EIQ.AX,EIQ,ECHOIQ LIMITED,Software & Services,False
EPM.AX,EPM,ECLIPSE METALS LIMITED.,Energy,False
EGR.AX,EGR,ECOGRAF LIMITED,Materials,False
ECS.AX,ECS,ECS BOTANICS HOLDINGS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",False
EDE.AX,EDE,EDEN INNOVATIONS LTD,Energy,False
EDU.AX,EDU,EDU HOLDINGS LIMITED,Consumer Services,False
ENN.AX,ENN,ELANOR INVESTORS GROUP,Consumer Services,False
ELD.AX,ELD,ELDERS LIMITED,"Food, Beverage & Tobacco",False
EOS.AX,EOS,ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED,Capital Goods,False
E25.AX,E25,ELEMENT 25 LIMITED,Materials,False
ELT.AX,ELT,ELEMENTOS LIMITED,Materials,False
EL8.AX,EL8,ELEVATE URANIUM LTD,Energy,False
ELV.AX,ELV,ELEVRA LITHIUM LIMITED,Materials,False
EXL.AX,EXL,ELIXINOL WELLNESS LIMITED,Household & Personal Products,False
EXR.AX,EXR,ELIXIR ENERGY LIMITED,Energy,False
ELS.AX,ELS,ELSIGHT LIMITED,Technology Hardware & Equipment,False
EVO.AX,EVO,EMBARK EARLY EDUCATION LIMITED,Consumer Services,False
EMB.AX,EMB,EMBELTON LIMITED,Capital Goods,False
EM3.AX,EM3,EMC GOLD CORPORATION,Materials,False
EHL.AX,EHL,EMECO HOLDINGS LIMITED,Capital Goods,False
EMR.AX,EMR,EMERALD RESOURCES NL,Materials,False
EMA.AX,EMA,EMINENCE MINERALS LIMITED,Materials,False
EML.AX,EML,EML PAYMENTS LIMITED,Financial Services,False
ERM.AX,ERM,EMMERSON RESOURCES LIMITED,Materials,False
EMP.AX,EMP,EMPEROR ENERGY LIMITED,Energy,False
ERL.AX,ERL,EMPIRE RESOURCES LIMITED,Materials,False
EMU.AX,EMU,EMU NL,Materials,False
EMV.AX,EMV,EMVISION MEDICAL DEVICES LTD,Health Care Equipment & Services,False
EMD.AX,EMD,EMYRIA LIMITED,Health Care Equipment & Services,False
ENR.AX,ENR,ENCOUNTER RESOURCES LIMITED,Materials,False
EDV.AX,EDV,ENDEAVOUR GROUP LIMITED,Consumer Staples Distribution & Retail,False
ERG.AX,ERG,ENECO REFRESH LTD,"Food, Beverage & Tobacco",False
ENX.AX,ENX,ENEGEX LIMITED,Materials,False
EAX.AX,EAX,ENERGY ACTION LIMITED,Commercial & Professional Services,False
EME.AX,EME,ENERGY METALS LTD,Energy,False
EOL.AX,EOL,ENERGY ONE LIMITED,Software & Services,False
ERA.AX,ERA,ENERGY RESOURCES OF AUSTRALIA LIMITED,Energy,False
EGY.AX,EGY,ENERGY TECHNOLOGIES LIMITED,Capital Goods,False
ETM.AX,ETM,ENERGY TRANSITION MINERALS LTD,Materials,False
EWC.AX,EWC,ENERGY WORLD CORPORATION LTD,Utilities,False
EGG.AX,EGG,ENERO GROUP LIMITED,Media & Entertainment,False
ENL.AX,ENL,ENLITIC INC.,Health Care Equipment & Services,False
ENV.AX,ENV,ENOVA MINING LIMITED,Materials,False
ENT.AX,ENT,ENTERPRISE METALS LIMITED,Materials,False
ENP.AX,ENP,ENTROPY NEURODYNAMICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
ECT.AX,ECT,ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED.,Commercial & Professional Services,False
EGL.AX,EGL,ENVIRONMENTAL GROUP LIMITED (THE),Capital Goods,False
EPI.AX,EPI,EPIMINDER LIMITED,Health Care Equipment & Services,False
EPN.AX,EPN,EPSILON HEALTHCARE LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
EPX.AX,EPX,EPX LIMITED,Software & Services,False
EQR.AX,EQR,EQ RESOURCES LIMITED,Materials,False
EQT.AX,EQT,EQT HOLDINGS LIMITED,Financial Services,False
EQX.AX,EQX,EQUATORIAL RESOURCES LIMITED,Materials,False
EQU.AX,EQU,EQUUS ENERGY LIMITED,Energy,False
ERD.AX,ERD,EROAD LIMITED,Technology Hardware & Equipment,False
ESR.AX,ESR,ESTRELLA RESOURCES LIMITED,Materials,False
ESK.AX,ESK,ETHERSTACK PLC,Software & Services,False
EGH.AX,EGH,EUREKA GROUP HOLDINGS LIMITED,Real Estate Management & Development,False
EMN.AX,EMN,EURO MANGANESE INC,Materials,False
EUR.AX,EUR,EUROPEAN LITHIUM LIMITED,Materials,False
EMH.AX,EMH,EUROPEAN METALS HOLDINGS LIMITED,Materials,False
ERE.AX,ERE,EUROPEAN RESOURCES LIMITED,Materials,False
EZL.AX,EZL,EUROZ HARTLEYS GROUP LIMITED,Financial Services,False
EVR.AX,EVR,EV RESOURCES LTD,Materials,False
EVE.AX,EVE,EVE HEALTH GROUP LIMITED.,Financial Services,False
EMC.AX,EMC,EVEREST METALS CORPORATION LTD,Materials,False
EG1.AX,EG1,EVERGOLD MINERALS LIMITED,Materials,False
EV8.AX,EV8,EVERLAST MINERALS LTD.,Materials,False
EVG.AX,EVG,EVION GROUP NL,Materials,False
EV1.AX,EV1,EVOLUTION ENERGY MINERALS LIMITED,Materials,False
EVN.AX,EVN,EVOLUTION MINING LIMITED,Materials,False
EVT.AX,EVT,EVT LIMITED,Media & Entertainment,False
EVZ.AX,EVZ,EVZ LIMITED,Capital Goods,False
ECL.AX,ECL,EXCELSIOR CAPITAL LTD,Capital Goods,False
EXT.AX,EXT,EXCITE TECHNOLOGY SERVICES LTD,Software & Services,False
EXP.AX,EXP,EXPERIENCE CO LIMITED,Consumer Services,False
10X.AX,10X,EXULTANT MINING LIMITED,Materials,False
EZZ.AX,EZZ,EZZ LIFE SCIENCE HOLDINGS LIMITED,Consumer Discretionary Distribution & Retail,False
FAL.AX,FAL,FALCON METALS LTD,Materials,False
FEG.AX,FEG,FAR EAST GOLD LTD,Materials,False
FAR.AX,FAR,FAR LIMITED,Energy,False
FNR.AX,FNR,FAR NORTHERN RESOURCES LIMITED,Materials,False
FRM.AX,FRM,FARM PRIDE FOODS LIMITED,"Food, Beverage & Tobacco",False
FFG.AX,FFG,FATFISH GROUP LIMITED,Financial Services,False
FBR.AX,FBR,FBR LTD,Capital Goods,False
FXG.AX,FXG,FELIX GOLD LIMITED,Materials,False
FLX.AX,FLX,FELIX GROUP HOLDINGS LTD,Software & Services,False
FEX.AX,FEX,FENIX RESOURCES LTD,Materials,False
FFI.AX,FFI,FFI HOLDINGS LIMITED,"Food, Beverage & Tobacco",False
FID.AX,FID,FIDUCIAN GROUP LIMITED,Financial Services,False
FIN.AX,FIN,FIN RESOURCES LIMITED,Materials,False
FRI.AX,FRI,FINBAR GROUP LIMITED,Real Estate Management & Development,False
FDR.AX,FDR,FINDER ENERGY HOLDINGS LIMITED,Energy,False
FND.AX,FND,FINDI LIMITED,Software & Services,False
FCL.AX,FCL,FINEOS CORPORATION HOLDINGS PLC,Software & Services,False
FNX.AX,FNX,FINEXIA FINANCIAL GROUP LIMITED,Financial Services,False
FRB.AX,FRB,FIREBIRD METALS LIMITED,Materials,False
FRE.AX,FRE,FIREBRICK PHARMA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
FFM.AX,FFM,FIREFLY METALS LTD,Materials,False
FAU.AX,FAU,FIRST AU LIMITED,Materials,False
FGR.AX,FGR,FIRST GRAPHENE LIMITED,Materials,False
FL1.AX,FL1,FIRST LITHIUM LIMITED,Materials,False
FCT.AX,FCT,FIRSTWAVE CLOUD TECHNOLOGY LIMITED,Software & Services,False
FPH.AX,FPH,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,Health Care Equipment & Services,False
FZR.AX,FZR,FITZROY RIVER CORPORATION LTD,Energy,False
FLG.AX,FLG,FLAGSHIP MINERALS LIMITED,Materials,False
FPR.AX,FPR,FLEETPARTNERS GROUP LIMITED,Financial Services,False
FWD.AX,FWD,FLEETWOOD LIMITED,Consumer Durables & Apparel,False
FBU.AX,FBU,FLETCHER BUILDING LIMITED,Capital Goods,False
FRX.AX,FRX,FLEXIROAM LIMITED,Telecommunication Services,False
FLT.AX,FLT,FLIGHT CENTRE TRAVEL GROUP LIMITED,Consumer Services,False
FLC.AX,FLC,FLUENCE CORPORATION LIMITED,Utilities,False
FG1.AX,FG1,FLYNN GOLD LIMITED,Materials,False
FMR.AX,FMR,FMR RESOURCES LIMITED,Media & Entertainment,False
FML.AX,FML,FOCUS MINERALS LTD,Materials,False
FGH.AX,FGH,FORESTA GROUP HOLDINGS LIMITED,Materials,False
FRS.AX,FRS,FORRESTANIA RESOURCES LIMITED,Materials,False
FEL.AX,FEL,FORTE ENERGY LIMITED,Energy,False
FMG.AX,FMG,FORTESCUE LTD,Materials,False
FTI.AX,FTI,FORTIFAI LTD,Media & Entertainment,False
FUN.AX,FUN,FORTUNA METALS LTD,Materials,False
FOS.AX,FOS,FOS CAPITAL LTD,Capital Goods,False
FCG.AX,FCG,FREEDOM CARE GROUP HOLDINGS LIMITED,Health Care Equipment & Services,False
FHS.AX,FHS,FREEHILL MINING LIMITED.,Materials,False
FLN.AX,FLN,FREELANCER LIMITED,Commercial & Professional Services,False
FRW.AX,FRW,FREIGHTWAYS GROUP LIMITED,Transportation,False
FDV.AX,FDV,FRONTIER DIGITAL VENTURES LIMITED,Media & Entertainment,False
FHE.AX,FHE,FRONTIER ENERGY LIMITED,Materials,False
FSA.AX,FSA,FSA GROUP LIMITED,Financial Services,False
FUL.AX,FUL,FULCRUM LITHIUM LTD,Materials,False
FME.AX,FME,FUTURE METALS NL,Energy,False
G11.AX,G11,G11 RESOURCES LIMITED,Materials,False
G50.AX,G50,G50 CORP LIMITED,Materials,False
GEM.AX,GEM,G8 EDUCATION LIMITED,Consumer Services,False
GLN.AX,GLN,GALAN LITHIUM LIMITED,Materials,False
GAP.AX,GAP,GALE PACIFIC LIMITED,Consumer Durables & Apparel,False
GLL.AX,GLL,GALILEE ENERGY LIMITED,Energy,False
GAL.AX,GAL,GALILEO MINING LTD,Materials,False
GML.AX,GML,GATEWAY MINING LIMITED,Materials,False
GBM.AX,GBM,GBM RESOURCES LIMITED.,Materials,False
GCM.AX,GCM,GCM CORPORATION LIMITED,Materials,False
GLF.AX,GLF,GEMLIFE COMMUNITIES GROUP,Real Estate Management & Development,False
GDG.AX,GDG,GENERATION DEVELOPMENT GROUP LIMITED,Insurance,False
GNE.AX,GNE,GENESIS ENERGY LIMITED,Utilities,False
GMD.AX,GMD,GENESIS MINERALS LIMITED,Materials,False
GES.AX,GES,GENESIS RESOURCES LIMITED,Materials,False
GSS.AX,GSS,GENETIC SIGNATURES LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
GTG.AX,GTG,GENETIC TECHNOLOGIES LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
GEN.AX,GEN,GENMIN LIMITED,Materials,False
GTK.AX,GTK,GENTRACK GROUP LIMITED,Software & Services,False
GNP.AX,GNP,GENUSPLUS GROUP LTD,Capital Goods,False
GPR.AX,GPR,GEOPACIFIC RESOURCES LTD,Materials,False
GIB.AX,GIB,GIBB RIVER DIAMONDS LIMITED,Materials,False
